"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2021,"Particulate Matter","Black Carbon","1A1a","kilotonne",2020,0.0449238075721857
2021,"Particulate Matter","Black Carbon","1A1a","kilotonne",2025,0.0454093577965128
2021,"Particulate Matter","Black Carbon","1A1a","kilotonne",2030,0.0285003652617192
2021,"Particulate Matter","Black Carbon","1A1b","kilotonne",2020,0.00775382527793546
2021,"Particulate Matter","Black Carbon","1A1b","kilotonne",2025,0.00978736851086551
2021,"Particulate Matter","Black Carbon","1A1b","kilotonne",2030,0.00978736851086551
2021,"Particulate Matter","Black Carbon","1A1c","kilotonne",2020,0.17445736763296
2021,"Particulate Matter","Black Carbon","1A1c","kilotonne",2025,0.161218382109386
2021,"Particulate Matter","Black Carbon","1A1c","kilotonne",2030,0.151333612903285
2021,"Particulate Matter","Black Carbon","1A2a","kilotonne",2020,0.13127207185283
2021,"Particulate Matter","Black Carbon","1A2a","kilotonne",2025,0.11312998230829
2021,"Particulate Matter","Black Carbon","1A2a","kilotonne",2030,0.105515489560181
2021,"Particulate Matter","Black Carbon","1A2b","kilotonne",2020,0.00344819718788139
2021,"Particulate Matter","Black Carbon","1A2b","kilotonne",2025,0.00371079080270582
2021,"Particulate Matter","Black Carbon","1A2b","kilotonne",2030,0.00374251241307043
2021,"Particulate Matter","Black Carbon","1A2c","kilotonne",2020,0.0400425245446409
2021,"Particulate Matter","Black Carbon","1A2c","kilotonne",2025,0.0435916533583353
2021,"Particulate Matter","Black Carbon","1A2c","kilotonne",2030,0.0436337229750017
2021,"Particulate Matter","Black Carbon","1A2d","kilotonne",2020,0.0276857460909596
2021,"Particulate Matter","Black Carbon","1A2d","kilotonne",2025,0.0300920389455297
2021,"Particulate Matter","Black Carbon","1A2d","kilotonne",2030,0.0305169201022801
2021,"Particulate Matter","Black Carbon","1A2e","kilotonne",2020,0.0225257539114382
2021,"Particulate Matter","Black Carbon","1A2e","kilotonne",2025,0.0245398329059625
2021,"Particulate Matter","Black Carbon","1A2e","kilotonne",2030,0.0247856181601435
2021,"Particulate Matter","Black Carbon","1A2f","kilotonne",2020,0.00328893894823389
2021,"Particulate Matter","Black Carbon","1A2f","kilotonne",2025,0.00370743530507442
2021,"Particulate Matter","Black Carbon","1A2f","kilotonne",2030,0.00370743530507442
2021,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2020,1.78860677346649
2021,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2025,1.84142420776098
2021,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2030,1.8379068268996
2021,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2020,3.65340176550078
2021,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2025,3.93952190853661
2021,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2030,3.96203747555884
2021,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2020,0.00507770902424457
2021,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2025,0.0123399448850951
2021,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2030,0.0132970645561574
2021,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2020,0.00104035559838418
2021,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2025,0.00252829192922706
2021,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2030,0.00272439312434458
