"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2025,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2050,0.586118225011935
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2025,0.0281738933220698
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2030,0.0323248361265885
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2035,0.032901079679052
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2040,0.0327950019213538
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2045,0.0321612227262352
2025,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2050,0.0323174570522227
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2025,0.00368436105596117
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2030,0.00416060582288489
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2035,0.00411135480986943
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2040,0.00396336286350966
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2045,0.00372731199190308
2025,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2050,0.0036111446172682
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2025,0.455217818879608
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2030,0.129729230450885
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2035,0.0597266982341172
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2040,0.0409562198888283
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2045,0.0309079750021373
2025,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2050,0.0281801682300397
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2025,0.167395349816967
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2030,0.0342622189898063
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2035,0.00963890737920563
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2040,0.00709143210975083
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2045,0.00640115263503669
2025,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2050,0.00623355125796613
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2025,0.0989516125473212
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2030,0.0306563581624136
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2035,0.0192435127396931
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2040,0.0175123452191029
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2045,0.0178516053148645
2025,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2050,0.0182261453992882
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2025,0.00259840594936765
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2030,0.00142670696783544
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2035,0.0011384262674943
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2040,0.000983769181286972
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2045,0.000968638535891385
2025,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2050,0.000968217172879868
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2025,1.59440627743106
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2030,1.6591824671392
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2035,1.77214256909542
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2040,1.87665668478761
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2045,1.94718245044452
2025,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2050,2.02082519067459
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2025,0.117076063793274
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2030,0.124291932415013
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2035,0.135602547463931
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2040,0.145275996650692
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2045,0.15151594964369
2025,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2050,0.157389100285081
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2025,0.162937419902681
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2030,0.143790958791852
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2035,0.12145216888488
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2040,0.12166983629345
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2045,0.121717109463826
2025,"Particulate Matter","Black Carbon","1A3c","kilotonne",2050,0.121736672732955
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2025,0.709866937383544
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2030,0.716387073571987
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2035,0.757790387232314
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2040,0.788558333394367
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2045,0.82876537378408
2025,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2050,0.873937559085456
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2025,0.129779951185008
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2030,0.043208892506321
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2035,0.0455575562206098
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2040,0.0513308100192635
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2045,0.0584815956115286
2025,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2050,0.0672287771232957
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2025,0.51102034052629
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2030,0.520405874721266
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2035,0.531812494140107
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2040,0.538158377764201
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2045,0.54076808224023
2025,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2050,0.540980494109464
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2025,0.0130646856636266
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2030,0.00640389322806727
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2035,0.00683467684895906
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2040,0.00764913050367086
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2045,0.00885576537556603
2025,"Particulate Matter","Black Carbon","1A4aii","kilotonne",2050,0.0103395702605735
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2025,1.95411933031695
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2030,1.95922086624308
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2035,1.80418347365331
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2040,1.60922911322565
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2045,1.36708179808567
2025,"Particulate Matter","Black Carbon","1A4bi","kilotonne",2050,1.27454163783611
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2025,0.0105217988743185
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2030,0.0108435313833663
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2035,0.0111453851059244
2025,"Particulate Matter","Black Carbon","1A4bii","kilotonne",2040,0.0114210159059016
