"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2022,"Particulate Matter","Black Carbon","1A1a","kilotonne",2025,0.0530634534929864
2022,"Particulate Matter","Black Carbon","1A1a","kilotonne",2030,0.0404703039490843
2022,"Particulate Matter","Black Carbon","1A1a","kilotonne",2035,0.0389730401419718
2022,"Particulate Matter","Black Carbon","1A1a","kilotonne",2040,0.0351810239740928
2022,"Particulate Matter","Black Carbon","1A1b","kilotonne",2025,0.0106893836189816
2022,"Particulate Matter","Black Carbon","1A1b","kilotonne",2030,0.00895389046035131
2022,"Particulate Matter","Black Carbon","1A1b","kilotonne",2035,0.00736775793544211
2022,"Particulate Matter","Black Carbon","1A1b","kilotonne",2040,0.00595674135116965
2022,"Particulate Matter","Black Carbon","1A1c","kilotonne",2025,0.174502048885917
2022,"Particulate Matter","Black Carbon","1A1c","kilotonne",2030,0.150314751718176
2022,"Particulate Matter","Black Carbon","1A1c","kilotonne",2035,0.0918055501696602
2022,"Particulate Matter","Black Carbon","1A1c","kilotonne",2040,0.0249659235969886
2022,"Particulate Matter","Black Carbon","1A2a","kilotonne",2025,0.0708597043566689
2022,"Particulate Matter","Black Carbon","1A2a","kilotonne",2030,0.0662436676766131
2022,"Particulate Matter","Black Carbon","1A2a","kilotonne",2035,0.061714966773315
2022,"Particulate Matter","Black Carbon","1A2a","kilotonne",2040,0.0572353482029285
2022,"Particulate Matter","Black Carbon","1A2b","kilotonne",2025,0.00378339916711748
2022,"Particulate Matter","Black Carbon","1A2b","kilotonne",2030,0.0038189761969229
2022,"Particulate Matter","Black Carbon","1A2b","kilotonne",2035,0.00389519470665299
2022,"Particulate Matter","Black Carbon","1A2b","kilotonne",2040,0.00400827172276906
2022,"Particulate Matter","Black Carbon","1A2c","kilotonne",2025,0.0440567463422908
2022,"Particulate Matter","Black Carbon","1A2c","kilotonne",2030,0.0456592910860583
2022,"Particulate Matter","Black Carbon","1A2c","kilotonne",2035,0.0481634030207436
2022,"Particulate Matter","Black Carbon","1A2c","kilotonne",2040,0.0519267590245571
2022,"Particulate Matter","Black Carbon","1A2d","kilotonne",2025,0.0297292072327752
2022,"Particulate Matter","Black Carbon","1A2d","kilotonne",2030,0.0300296480169633
2022,"Particulate Matter","Black Carbon","1A2d","kilotonne",2035,0.0305294184008942
2022,"Particulate Matter","Black Carbon","1A2d","kilotonne",2040,0.0311240480040723
2022,"Particulate Matter","Black Carbon","1A2e","kilotonne",2025,0.024888593005135
2022,"Particulate Matter","Black Carbon","1A2e","kilotonne",2030,0.0252253187414883
2022,"Particulate Matter","Black Carbon","1A2e","kilotonne",2035,0.0259024223377268
2022,"Particulate Matter","Black Carbon","1A2e","kilotonne",2040,0.0269301838294448
2022,"Particulate Matter","Black Carbon","1A2f","kilotonne",2025,0.00334146759422513
2022,"Particulate Matter","Black Carbon","1A2f","kilotonne",2030,0.00334146759422513
2022,"Particulate Matter","Black Carbon","1A2f","kilotonne",2035,0.00334146759422513
2022,"Particulate Matter","Black Carbon","1A2f","kilotonne",2040,0.00334146759422513
2022,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2025,1.61880068470398
2022,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2030,1.66188859245335
2022,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2035,1.69199847063181
2022,"Particulate Matter","Black Carbon","1A2gvii","kilotonne",2040,1.72582814921184
2022,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2025,4.86100139140258
2022,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2030,4.89477968239322
2022,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2035,4.44858723210526
2022,"Particulate Matter","Black Carbon","1A2gviii","kilotonne",2040,3.61542609541025
2022,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2025,0.0152374554432475
2022,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2030,0.0161697968689331
2022,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2035,0.0166580549306644
2022,"Particulate Matter","Black Carbon","1A3ai(i)","kilotonne",2040,0.0165274244171198
2022,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2025,0.00254425755084977
2022,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2030,0.00272005950500248
2022,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2035,0.00281212526441036
2022,"Particulate Matter","Black Carbon","1A3aii(i)","kilotonne",2040,0.00278749362312483
2022,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2025,0.212460160681973
2022,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2030,0.112440787633109
2022,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2035,0.0940996947555298
2022,"Particulate Matter","Black Carbon","1A3bi","kilotonne",2040,0.0878293838260016
2022,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2025,0.0529972805374538
2022,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2030,0.0326932412647622
2022,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2035,0.0346973619220382
2022,"Particulate Matter","Black Carbon","1A3bii","kilotonne",2040,0.0383045075139853
2022,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2025,0.0447101040028782
2022,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2030,0.0234018867565936
2022,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2035,0.0211965748174353
2022,"Particulate Matter","Black Carbon","1A3biii","kilotonne",2040,0.0211826550695819
2022,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2025,0.00627167731131179
2022,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2030,0.00639188761183528
2022,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2035,0.00653451478230872
2022,"Particulate Matter","Black Carbon","1A3biv","kilotonne",2040,0.00654804197018711
2022,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2025,1.72561634521154
2022,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2030,1.86150149192097
2022,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2035,2.02309341323988
2022,"Particulate Matter","Black Carbon","1A3bvi","kilotonne",2040,2.17216216778633
2022,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2025,0.12253459507835
2022,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2030,0.131812999388463
2022,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2035,0.142383732905899
2022,"Particulate Matter","Black Carbon","1A3bvii","kilotonne",2040,0.151648062764646
2022,"Particulate Matter","Black Carbon","1A3c","kilotonne",2025,0.241281322734789
2022,"Particulate Matter","Black Carbon","1A3c","kilotonne",2030,0.248264547012395
2022,"Particulate Matter","Black Carbon","1A3c","kilotonne",2035,0.251976258377004
2022,"Particulate Matter","Black Carbon","1A3c","kilotonne",2040,0.253342266562554
2022,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2025,0.715269271064005
2022,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2030,0.713100344561377
2022,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2035,0.713203694060794
2022,"Particulate Matter","Black Carbon","1A3dii","kilotonne",2040,0.71289598454505
2022,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2025,0.0227694997644758
2022,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2030,0.0229804928846048
2022,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2035,0.0250590380933665
2022,"Particulate Matter","Black Carbon","1A3eii","kilotonne",2040,0.0299968501516485
2022,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2025,0.0940891990956235
2022,"Particulate Matter","Black Carbon","1A4ai","kilotonne",2030,0.0952283114070101
