"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2018,"Air Pollutants","Ammonia","1A1a","kilotonne",2020,0.235732718566618
2018,"Air Pollutants","Ammonia","1A1a","kilotonne",2025,0.251964884130146
2018,"Air Pollutants","Ammonia","1A1a","kilotonne",2030,0.253062943897744
2018,"Air Pollutants","Ammonia","1A2f","kilotonne",2020,0.324481634329638
2018,"Air Pollutants","Ammonia","1A2f","kilotonne",2025,0.350115006901493
2018,"Air Pollutants","Ammonia","1A2f","kilotonne",2030,0.386496593365611
2018,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2020,0.0131470207960576
2018,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2025,0.0130213873711862
2018,"Air Pollutants","Ammonia","1A2gvii","kilotonne",2030,0.0131131486907197
2018,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2020,2.87928815241726
2018,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2025,3.05017669108978
2018,"Air Pollutants","Ammonia","1A2gviii","kilotonne",2030,3.04181514563893
2018,"Air Pollutants","Ammonia","1A3bi","kilotonne",2020,2.93539565065994
2018,"Air Pollutants","Ammonia","1A3bi","kilotonne",2025,2.91188683510538
2018,"Air Pollutants","Ammonia","1A3bi","kilotonne",2030,3.26198352502455
2018,"Air Pollutants","Ammonia","1A3bii","kilotonne",2020,0.180318388321826
2018,"Air Pollutants","Ammonia","1A3bii","kilotonne",2025,0.19711203014452
2018,"Air Pollutants","Ammonia","1A3bii","kilotonne",2030,0.210781858977498
2018,"Air Pollutants","Ammonia","1A3biii","kilotonne",2020,0.274958284924904
2018,"Air Pollutants","Ammonia","1A3biii","kilotonne",2025,0.284524797234595
2018,"Air Pollutants","Ammonia","1A3biii","kilotonne",2030,0.294964028604206
2018,"Air Pollutants","Ammonia","1A3biv","kilotonne",2020,0.00971029461046504
2018,"Air Pollutants","Ammonia","1A3biv","kilotonne",2025,0.0100345325658257
2018,"Air Pollutants","Ammonia","1A3biv","kilotonne",2030,0.0103846975018074
2018,"Air Pollutants","Ammonia","1A3c","kilotonne",2020,0.00909146645604003
2018,"Air Pollutants","Ammonia","1A3c","kilotonne",2025,0.00835279941454581
2018,"Air Pollutants","Ammonia","1A3c","kilotonne",2030,0.00806093088520352
2018,"Air Pollutants","Ammonia","1A3dii","kilotonne",2020,0.0151878174517152
2018,"Air Pollutants","Ammonia","1A3dii","kilotonne",2025,0.0149848170542406
2018,"Air Pollutants","Ammonia","1A3dii","kilotonne",2030,0.014875500651504
2018,"Air Pollutants","Ammonia","1A3eii","kilotonne",2020,0.00138806064892991
2018,"Air Pollutants","Ammonia","1A3eii","kilotonne",2025,0.0015440588154438
2018,"Air Pollutants","Ammonia","1A3eii","kilotonne",2030,0.00170005698195768
2018,"Air Pollutants","Ammonia","1A4bi","kilotonne",2020,2.68053444849997
2018,"Air Pollutants","Ammonia","1A4bi","kilotonne",2025,2.79518739913378
2018,"Air Pollutants","Ammonia","1A4bi","kilotonne",2030,2.82507864146808
2018,"Air Pollutants","Ammonia","1A4bii","kilotonne",2020,0.000541562197006606
2018,"Air Pollutants","Ammonia","1A4bii","kilotonne",2025,0.00056464386429888
2018,"Air Pollutants","Ammonia","1A4bii","kilotonne",2030,0.000587066253565797
2018,"Air Pollutants","Ammonia","1A4cii","kilotonne",2020,0.0100526923891964
2018,"Air Pollutants","Ammonia","1A4cii","kilotonne",2025,0.0100527491396993
2018,"Air Pollutants","Ammonia","1A4cii","kilotonne",2030,0.0100527491396994
2018,"Air Pollutants","Ammonia","1A4ciii","kilotonne",2020,0.00185964453380958
2018,"Air Pollutants","Ammonia","1A4ciii","kilotonne",2025,0.00174871944771182
2018,"Air Pollutants","Ammonia","1A4ciii","kilotonne",2030,0.00164420040741565
2018,"Air Pollutants","Ammonia","1A5b","kilotonne",2020,0.00136645778364116
2018,"Air Pollutants","Ammonia","1A5b","kilotonne",2025,0.00136645778364116
2018,"Air Pollutants","Ammonia","1A5b","kilotonne",2030,0.00136645778364116
2018,"Air Pollutants","Ammonia","1B1b","kilotonne",2020,0.186152843009193
2018,"Air Pollutants","Ammonia","1B1b","kilotonne",2025,0.184325110493875
2018,"Air Pollutants","Ammonia","1B1b","kilotonne",2030,0.183894197846607
2018,"Air Pollutants","Ammonia","1B2aiv","kilotonne",2020,0.0144924171708676
2018,"Air Pollutants","Ammonia","1B2aiv","kilotonne",2025,0.0144924171708676
2018,"Air Pollutants","Ammonia","1B2aiv","kilotonne",2030,0.0144924171708676
2018,"Air Pollutants","Ammonia","2A3","kilotonne",2020,0.3683545175046
2018,"Air Pollutants","Ammonia","2A3","kilotonne",2025,0.397453756372858
2018,"Air Pollutants","Ammonia","2A3","kilotonne",2030,0.438754465905244
2018,"Air Pollutants","Ammonia","2B10a","kilotonne",2020,1.02531010034134
2018,"Air Pollutants","Ammonia","2B10a","kilotonne",2025,0.949823397237223
2018,"Air Pollutants","Ammonia","2B10a","kilotonne",2030,0.908247028643919
