"reporting_year","pollutant_group","pollutant","nfr","unit","year","emission"
2023,"Particulate Matter","Black Carbon","1A1a","kilotonne",2025,0.0478765404450521
2023,"Particulate Matter","Black Carbon","1A1a","kilotonne",2030,0.024748864189798
2023,"Particulate Matter","Black Carbon","1A1a","kilotonne",2035,0.0240333034808035
2023,"Particulate Matter","Black Carbon","1A1a","kilotonne",2040,0.0200065788211195
2023,"Particulate Matter","Black Carbon","1A1b","kilotonne",2025,0.0122823274398
2023,"Particulate Matter","Black Carbon","1A1b","kilotonne",2030,0.0113050296652276
2023,"Particulate Matter","Black Carbon","1A1b","kilotonne",2035,0.0103132038925259
2023,"Particulate Matter","Black Carbon","1A1b","kilotonne",2040,0.00985432653706107
2023,"Particulate Matter","Black Carbon","1A1c","kilotonne",2025,0.182551644470125
2023,"Particulate Matter","Black Carbon","1A1c","kilotonne",2030,0.154817614475876
2023,"Particulate Matter","Black Carbon","1A1c","kilotonne",2035,0.0967585318601323
2023,"Particulate Matter","Black Carbon","1A1c","kilotonne",2040,0.0268532916556654
2023,"Particulate Matter","Black Carbon","1A2a","kilotonne",2025,0.103222408719541
2023,"Particulate Matter","Black Carbon","1A2a","kilotonne",2030,0.0958987002530013
2023,"Particulate Matter","Black Carbon","1A2a","kilotonne",2035,0.0886490602593929
2023,"Particulate Matter","Black Carbon","1A2a","kilotonne",2040,0.0814728589594728
2023,"Particulate Matter","Black Carbon","1A2b","kilotonne",2025,0.00378395357090049
2023,"Particulate Matter","Black Carbon","1A2b","kilotonne",2030,0.00384743333795848
2023,"Particulate Matter","Black Carbon","1A2b","kilotonne",2035,0.00405088317885515
2023,"Particulate Matter","Black Carbon","1A2b","kilotonne",2040,0.00442093838335795
2023,"Particulate Matter","Black Carbon","1A2c","kilotonne",2025,0.0685836908434101
2023,"Particulate Matter","Black Carbon","1A2c","kilotonne",2030,0.0690980019287443
2023,"Particulate Matter","Black Carbon","1A2c","kilotonne",2035,0.0729956362506734
2023,"Particulate Matter","Black Carbon","1A2c","kilotonne",2040,0.0810871585703989
2023,"Particulate Matter","Black Carbon","1A2d","kilotonne",2025,0.599824272725468
2023,"Particulate Matter","Black Carbon","1A2d","kilotonne",2030,0.609485823784807
2023,"Particulate Matter","Black Carbon","1A2d","kilotonne",2035,0.549158334426792
2023,"Particulate Matter","Black Carbon","1A2d","kilotonne",2040,0.450773953578547
2023,"Particulate Matter","Black Carbon","1A2e","kilotonne",2025,0.139708796670249
